station,Fakaofo,Fakaofo,Fakaofo
tercile,Below,Normal,Above
step,,,
"November
2025",53,34,13
"December
2025",47,29,24
"January
2026",54,30,16
"February
2026",65,24,11
"March
2026",58,31,11
"April
2026",50,30,20
