quantile,"February
2026","March
2026","April
2026","May
2026","June
2026","July
2026"
1,43.203487377763025,33.636464617508594,18.829890413093317,24.615436263802827,34.64616345775079,34.140354666627026
2,24.018493933553312,21.17474677959406,17.096016443337774,15.961433303589356,17.389359093147576,23.867931266590467
3,11.602617784836319,15.614417263704155,12.232647378237793,12.115069179416698,11.656894621210593,15.167023720744744
4,7.967059132694274,9.517232457387244,11.59327751635345,11.020475305888334,8.52606504268036,8.031686662720846
5,4.677942996128508,6.727959387582808,9.845365469040543,8.234852949691037,8.657553961130544,4.582418067488464
6,2.9824163916428663,5.93587175818578,8.454618510738136,7.729959752523933,6.7045254396902925,5.156578029869806
7,1.604540923953469,2.863157189037841,7.097497266259537,8.031526090090914,5.313832323168697,3.7130046626725903
8,1.1957427537554506,1.8461199626702407,6.511923936582355,4.5514655878393375,2.496466152039074,2.874721098194761
9,1.4395957448846142,1.8574750136315374,5.250215716333349,3.663388437928053,2.16809445574162,1.3915010004569697
10,1.3081029607881671,0.8265555706977474,3.0885473500237492,4.076393129229507,2.441045453440452,1.0747808246343264
